"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Jules Koundé",85,84,45,70,75,86,80,85,83,47,47,48,40,32,43,62,68,26,82,75,55,72,71,74,86,77,82,86,80,87,86,84,90,78,80,78,"RB",3,3,"Right",180,75,"CB",25,"France","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jules-kounde/241486",NA,NA,NA,NA,NA,"M"
"Khvicha Kvaratskhelia",85,86,79,80,86,41,71,85,86,84,80,78,83,64,65,83,78,65,83,76,83,88,86,75,84,87,79,40,62,38,39,34,78,77,70,62,"LW",5,5,"Right",183,70,"RW, LM",23,"Georgia","Serie A Enilive","SSC Napoli","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khvicha-kvaratskhelia/247635",NA,NA,NA,NA,NA,"M"
"Vitinha",85,72,77,84,87,73,68,75,69,77,77,76,83,62,73,85,78,68,88,85,81,87,91,88,85,87,88,80,52,74,77,68,66,81,59,77,"CM",3,3,"Right",172,64,"CDM",24,"Portugal","Ligue 1 McDonald's","Paris SG","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vitinha/255253",NA,NA,NA,NA,NA,"M"
"James Maddison",85,71,81,86,86,54,63,77,66,85,80,83,83,77,74,88,83,86,86,85,86,86,84,83,80,88,88,44,35,59,65,42,57,78,53,70,"CAM",4,4,"Right",175,73,"RM",27,"England","Premier League","Spurs","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/james-maddison/220697",NA,NA,NA,NA,NA,"M"
"Riyad Mahrez",85,79,81,81,88,39,62,83,76,83,81,82,82,76,73,83,81,80,83,75,85,88,91,90,82,90,81,39,56,45,34,22,71,79,58,48,"RM",4,5,"Left",179,67,"RW",33,"Algeria","ROSHN Saudi League","Al Ahli","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/riyad-mahrez/204485",NA,NA,NA,NA,NA,"M"
"Giorgi Mamardashvili",85,86,83,72,85,48,85,48,48,NA,NA,54,NA,NA,11,34,13,10,20,20,11,11,40,26,74,22,26,NA,14,NA,12,10,71,45,74,25,"GK",3,1,"Left",199,88,"",23,"Georgia","LALIGA EA SPORTS","Valencia CF","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/giorgi-mamardashvili/262621",86,83,72,85,85,"M"
"Mikel Merino",85,72,79,82,82,83,82,72,72,83,79,85,79,58,70,83,77,69,86,84,80,83,74,73,86,85,80,85,87,80,84,76,88,83,80,83,"CM",3,3,"Left",189,83,"CAM",28,"Spain","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mikel-merino/225193",NA,NA,NA,NA,NA,"M"
"Sergej Milinković-Savić",85,64,80,81,82,78,88,62,66,81,82,83,81,74,59,81,71,78,86,86,81,85,62,63,83,87,84,78,86,77,77,79,88,92,90,79,"CM",5,4,"Right",192,95,"CDM",29,"Serbia","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sergej-milinkovic-savic/223848",NA,NA,NA,NA,NA,"M"
"Loïs Openda",85,93,84,69,81,31,79,94,92,86,87,85,77,78,75,69,69,53,75,59,66,79,82,85,84,83,81,26,79,29,23,19,93,79,80,74,"ST",4,3,"Right",177,75,"",24,"Belgium","Bundesliga","RB Leipzig","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lois-openda/243580",NA,NA,NA,NA,NA,"M"
"Palhinha",85,52,68,72,74,85,90,54,50,69,66,81,67,55,57,72,60,45,79,80,66,77,51,50,79,80,84,86,81,83,88,87,84,87,90,95,"CDM",4,2,"Right",190,83,"CM",29,"Portugal","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/palhinha/229391",NA,NA,NA,NA,NA,"M"
"Cole Palmer",85,75,82,83,86,50,66,73,77,86,84,81,80,67,89,86,78,74,86,82,85,88,78,75,84,87,87,52,62,45,53,40,71,78,61,60,"RM",3,4,"Left",189,74,"CAM, RW",22,"England","Premier League","Chelsea","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cole-palmer/257534",NA,NA,NA,NA,NA,"M"
"Andrew Robertson",85,78,61,82,79,81,78,79,78,78,55,76,65,32,55,82,87,71,83,76,82,78,75,74,85,82,83,81,67,82,83,81,76,93,67,85,"LB",2,3,"Left",178,64,"",30,"Scotland","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrew-robertson/216267",NA,NA,NA,NA,NA,"M"
"Leroy Sané",85,90,83,80,86,37,70,89,91,82,83,87,81,84,65,81,81,80,82,72,83,87,87,82,83,85,83,34,64,36,32,35,72,78,67,65,"RM",2,4,"Left",183,80,"LM, RW",28,"Germany","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leroy-sane/222492",NA,NA,NA,NA,NA,"M"
"Nico Schlotterbeck",85,77,59,70,73,85,82,78,76,58,51,75,66,56,38,72,53,41,78,85,52,74,68,64,83,71,78,83,85,85,87,86,91,74,84,83,"CB",2,2,"Left",191,86,"",24,"Germany","Bundesliga","Borussia Dortmund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nico-schlotterbeck/247819",NA,NA,NA,NA,NA,"M"
"John Stones",85,69,58,75,79,85,77,68,69,58,54,68,61,44,52,78,63,37,85,79,62,79,68,67,87,83,88,84,84,86,86,84,84,74,77,80,"CB",4,3,"Right",188,76,"CDM, RB",30,"England","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/john-stones/203574",NA,NA,NA,NA,NA,"M"
"Aurélien Tchouaméni",85,73,69,79,78,82,82,74,72,74,65,78,75,50,55,82,68,53,85,84,76,78,72,70,83,81,83,84,75,83,83,80,84,83,82,80,"CDM",3,3,"Right",188,82,"CM, CB",24,"France","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aurelien-tchouameni/241637",NA,NA,NA,NA,NA,"M"
"Diogo Jota",85,82,82,75,84,57,79,85,80,88,85,86,76,79,69,78,73,58,77,72,77,83,86,87,88,85,83,56,86,53,57,45,91,80,75,85,"ST",5,4,"Right",178,70,"LW",27,"Portugal","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diogo-jota/224458",NA,NA,NA,NA,NA,"M"
"Sandro Tonali",85,84,74,81,81,82,82,81,86,75,69,82,83,68,64,79,78,81,85,83,75,78,81,83,83,85,84,84,70,83,84,81,84,80,82,84,"CDM",4,3,"Right",181,79,"CM",24,"Italy","Premier League","Newcastle Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandro-tonali/241096",NA,NA,NA,NA,NA,"M"
"Ollie Watkins",85,85,83,73,80,50,83,79,89,87,86,84,76,80,74,77,67,63,79,64,74,81,79,76,85,79,81,55,84,45,46,36,91,88,82,76,"ST",4,3,"Right",180,70,"",28,"England","Premier League","Aston Villa","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ollie-watkins/221697",NA,NA,NA,NA,NA,"M"
"Nico Williams",85,93,75,78,86,36,65,94,93,78,77,78,72,64,62,80,83,72,82,64,78,88,92,84,80,85,78,40,65,36,28,25,78,81,60,55,"LM",5,4,"Right",181,67,"RM, LW",22,"Spain","LALIGA EA SPORTS","Athletic Club","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nico-williams/256516",NA,NA,NA,NA,NA,"M"
"Francesco Acerbi",84,60,50,64,65,86,80,61,59,20,37,75,60,39,61,65,34,56,76,79,58,65,38,33,83,72,86,84,84,87,89,83,86,68,85,80,"CB",3,3,"Left",192,88,"",36,"Italy","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/francesco-acerbi/199845",NA,NA,NA,NA,NA,"M"
"Manuel Akanji",84,78,48,71,75,85,82,76,80,37,38,75,48,42,40,65,55,59,83,80,54,76,66,54,86,78,83,84,79,86,86,84,90,71,86,82,"CB",4,2,"Right",187,91,"",29,"Switzerland","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuel-akanji/229237",NA,NA,NA,NA,NA,"M"
"Nathan Aké",84,76,53,72,75,84,77,77,75,51,48,64,56,52,53,68,63,59,81,75,64,73,67,68,84,79,79,83,82,84,85,84,88,71,78,80,"CB",3,2,"Left",180,75,"LB",29,"Holland","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nathan-ake/208920",NA,NA,NA,NA,NA,"M"
"Julián Álvarez",84,85,84,80,85,57,78,86,85,84,84,88,81,79,78,81,77,80,80,77,87,83,87,87,86,86,84,52,72,60,55,46,83,85,70,86,"ST",4,4,"Right",170,71,"CAM",24,"Argentina","LALIGA EA SPORTS","Atlético de Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/julian-alvarez/246191",NA,NA,NA,NA,NA,"M"
"Iago Aspas",84,81,86,79,86,35,65,78,83,88,90,82,81,82,82,81,80,83,79,73,79,87,84,72,86,87,85,39,77,39,21,18,80,69,61,65,"ST",4,3,"Left",176,67,"",37,"Spain","LALIGA EA SPORTS","RC Celta","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/iago-aspas/192629",NA,NA,NA,NA,NA,"M"
"Yassine Bounou",84,81,82,77,86,38,83,38,37,10,14,58,19,13,24,62,15,19,39,44,12,20,47,29,80,12,57,12,14,20,18,15,66,43,69,25,"GK",2,1,"Left",195,78,"",33,"Morocco","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yassine-bounou/209981",81,82,77,83,86,"M"
"Federico Chiesa",84,93,83,76,86,52,75,92,93,84,84,86,83,84,62,77,75,62,78,76,78,87,90,84,84,83,82,54,53,51,51,48,76,84,70,74,"RW",4,4,"Right",175,70,"LW, ST, RM",26,"Italy","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-chiesa/235805",NA,NA,NA,NA,NA,"M"
"Kingsley Coman",84,89,75,79,87,30,62,92,87,81,74,82,72,78,65,80,80,70,80,73,83,88,91,84,84,87,78,23,61,29,27,21,79,68,66,38,"LM",3,5,"Right",181,75,"RM, LW",28,"France","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kingsley-coman/213345",NA,NA,NA,NA,NA,"M"
"Rúben Neves",84,57,75,86,77,77,77,59,55,62,66,86,83,82,77,87,83,81,88,88,85,74,64,73,82,83,88,81,53,79,79,79,66,80,74,82,"CDM",4,3,"Right",180,83,"CM",27,"Portugal","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-neves/224293",NA,NA,NA,NA,NA,"M"
"Matthijs de Ligt",84,62,61,63,67,85,83,54,68,44,50,84,75,45,40,45,52,55,77,76,48,65,52,62,84,72,82,82,85,85,85,86,86,64,91,85,"CB",3,2,"Right",189,89,"",25,"Holland","Premier League","Man Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matthijs-de-ligt/235243",NA,NA,NA,NA,NA,"M"
"Rodrigo De Paul",84,76,77,83,82,76,82,77,76,78,76,80,78,71,66,86,78,76,85,85,84,82,78,78,81,85,81,80,58,75,81,75,77,92,78,83,"CM",3,4,"Right",180,70,"CDM",30,"Argentina","LALIGA EA SPORTS","Atlético de Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrigo-de-paul/212616",NA,NA,NA,NA,NA,"M"
"Raphinha",84,91,79,78,86,53,73,90,91,83,78,83,79,72,78,80,80,79,78,74,81,87,88,79,84,85,80,55,74,47,54,38,83,86,65,76,"RW",4,4,"Left",176,68,"LW, RM",27,"Brazil","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/raphinha/233419",NA,NA,NA,NA,NA,"M"
"Luis Díaz",84,90,80,75,87,39,75,91,90,83,80,84,81,81,63,77,76,58,76,71,77,89,88,77,83,87,82,28,64,35,42,34,80,87,69,74,"LW",4,4,"Right",180,73,"RW, LM",27,"Colombia","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-diaz/241084",NA,NA,NA,NA,NA,"M"
"Federico Dimarco",84,80,77,84,83,78,81,83,78,83,72,81,84,77,70,79,87,82,85,81,88,83,80,84,83,86,78,80,65,79,80,79,82,85,78,81,"LB",4,3,"Left",174,76,"LM",26,"Italy","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-dimarco/226268",NA,NA,NA,NA,NA,"M"
"Artem Dovbyk",84,84,85,69,79,34,81,81,86,85,88,89,78,67,84,72,48,58,80,70,63,81,74,72,80,79,83,25,86,32,28,23,95,75,86,74,"ST",4,3,"Left",189,78,"",27,"Ukraine","Serie A Enilive","AS Roma","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/artem-dovbyk/242458",NA,NA,NA,NA,NA,"M"
"Jeremie Frimpong",84,93,62,75,86,75,69,96,91,81,67,62,53,51,43,74,84,47,78,64,77,86,91,90,84,84,80,78,52,78,78,77,73,85,58,77,"RM",3,3,"Right",172,65,"RB, RW",23,"Holland","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jeremie-frimpong/253149",NA,NA,NA,NA,NA,"M"
"Aleix García",84,67,77,85,84,76,68,68,66,81,77,78,80,66,60,86,83,80,86,88,84,84,76,85,82,87,84,77,51,79,81,76,65,78,65,65,"CM",3,3,"Right",173,68,"CDM",27,"Spain","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aleix-garcia/228813",NA,NA,NA,NA,NA,"M"
"Jack Grealish",84,76,76,82,88,53,73,78,75,80,76,76,79,72,58,84,82,74,84,80,83,89,84,85,82,90,88,49,48,58,54,48,70,83,71,65,"LW",3,4,"Right",180,81,"LM",29,"England","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jack-grealish/206517",NA,NA,NA,NA,NA,"M"
"Serhou Guirassy",84,69,86,71,80,39,79,66,71,89,89,87,81,81,85,75,56,67,81,66,72,80,67,77,85,84,87,29,83,42,29,34,87,71,85,73,"ST",4,3,"Right",187,82,"",28,"Guinea","Bundesliga","Borussia Dortmund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/serhou-guirassy/215441",NA,NA,NA,NA,NA,"M"
"Viktor Gyökeres",84,90,83,67,80,36,91,88,92,83,86,85,78,74,81,77,61,59,73,52,70,80,77,77,84,82,82,28,81,34,34,16,95,93,91,87,"ST",5,3,"Right",187,90,"LW",26,"Sweden","Liga Portugal","Sporting CP","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/viktor-gyokeres/241651",NA,NA,NA,NA,NA,"M"
"Achraf Hakimi",84,91,76,80,80,75,78,89,93,78,75,82,75,74,64,78,84,77,82,73,77,79,81,77,82,82,83,78,68,75,76,76,82,92,72,76,"RB",4,4,"Right",181,73,"",25,"Morocco","Ligue 1 McDonald's","Paris SG","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/achraf-hakimi/235212",NA,NA,NA,NA,NA,"M"
"Lukáš Hrádecký",84,85,80,69,87,40,82,38,44,NA,11,52,14,NA,20,53,11,15,30,33,11,10,43,39,82,20,45,18,11,10,10,13,60,34,55,31,"GK",3,1,"Right",192,85,"",34,"Finland","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lukas-hradecky/190941",85,80,69,82,87,"M"
"Kalidou Koulibaly",84,76,48,64,67,85,84,66,85,50,43,67,38,48,50,65,50,39,73,69,53,70,43,33,85,72,82,84,82,86,85,83,82,74,90,84,"CB",4,3,"Right",186,93,"",33,"Senegal","ROSHN Saudi League","Al Hilal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kalidou-koulibaly/201024",NA,NA,NA,NA,NA,"M"
"Sadio Mané",84,83,81,78,86,44,75,82,83,83,82,85,77,75,75,80,78,64,83,71,77,85,86,90,85,86,83,35,78,42,42,38,86,79,72,75,"LM",4,4,"Right",174,69,"RM, ST, LW",32,"Senegal","ROSHN Saudi League","Al Nassr","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sadio-mane/208722",NA,NA,NA,NA,NA,"M"
"Lisandro Martínez",84,71,59,78,79,85,81,74,68,62,52,73,64,56,55,76,75,55,83,83,77,76,77,82,84,81,87,85,75,86,87,84,84,75,79,91,"CB",4,3,"Left",178,77,"",26,"Argentina","Premier League","Man Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lisandro-martinez/239301",NA,NA,NA,NA,NA,"M"
"Diogo Costa",84,83,78,82,86,35,83,33,39,18,NA,62,NA,NA,14,67,13,10,50,55,10,18,42,35,83,30,44,18,11,19,13,11,61,28,63,23,"GK",2,1,"Right",192,84,"",24,"Portugal","Liga Portugal","FC Porto","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diogo-costa/234577",83,78,82,83,86,"M"
"Ferland Mendy",84,89,64,76,76,81,85,88,89,77,63,69,64,50,49,75,77,45,80,77,72,75,80,79,81,76,77,81,72,80,83,82,90,89,84,81,"LB",5,4,"Left",180,73,"",29,"France","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ferland-mendy/228618",NA,NA,NA,NA,NA,"M"
"Christopher Nkunku",84,81,81,81,86,60,67,82,81,83,84,80,79,70,75,82,80,80,83,79,82,87,88,90,81,86,82,60,65,62,60,50,77,75,67,55,"CAM",3,5,"Right",177,68,"ST",26,"France","Premier League","Chelsea","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christopher-nkunku/232411",NA,NA,NA,NA,NA,"M"
"Dani Olmo",84,73,77,82,87,50,57,78,69,82,77,79,78,80,66,85,78,75,86,79,75,87,86,87,86,87,82,57,43,50,50,44,60,66,54,51,"CAM",4,4,"Right",179,72,"CM",26,"Spain","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dani-olmo/244260",NA,NA,NA,NA,NA,"M"
"Exequiel Palacios",84,69,76,79,82,82,73,71,68,79,73,81,79,63,72,82,70,54,85,84,73,82,78,79,84,83,83,86,67,80,86,80,73,78,67,84,"CM",4,3,"Right",178,69,"CDM",25,"Argentina","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/exequiel-palacios/231521",NA,NA,NA,NA,NA,"M"
"Benjamin Pavard",84,75,67,75,75,86,81,74,76,68,60,80,70,81,51,69,76,51,80,79,67,73,71,70,86,78,80,86,84,85,87,84,88,84,80,78,"CB",3,3,"Right",186,81,"RB",28,"France","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/benjamin-pavard/226851",NA,NA,NA,NA,NA,"M"
"Álex Remiro",84,84,79,80,86,42,86,40,46,11,13,60,11,15,24,35,12,17,36,29,14,19,70,40,79,26,55,20,13,14,17,18,68,42,73,34,"GK",4,1,"Right",192,79,"",29,"Spain","LALIGA EA SPORTS","Real Sociedad","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-remiro/227127",84,79,80,86,86,"M"
"Cristian Romero",84,68,46,59,66,85,81,67,68,43,48,51,36,52,40,50,42,38,75,64,54,60,67,64,85,69,82,86,82,85,86,85,86,71,83,89,"CB",2,3,"Right",185,79,"",26,"Argentina","Premier League","Spurs","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristian-romero/232488",NA,NA,NA,NA,NA,"M"
"Marcel Sabitzer",84,76,84,81,82,75,79,78,74,86,81,88,87,84,80,82,77,78,84,82,77,81,78,78,86,84,84,81,60,76,78,70,72,85,76,79,"CM",4,3,"Right",178,76,"CAM, CDM",30,"Austria","Bundesliga","Borussia Dortmund","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcel-sabitzer/204923",NA,NA,NA,NA,NA,"M"
"Casemiro",84,38,74,77,69,82,82,35,40,71,69,82,78,77,66,77,68,70,83,81,75,68,48,51,83,77,79,82,80,81,84,83,75,73,84,91,"CDM",3,2,"Right",185,84,"CM",32,"Brazil","Premier League","Man Utd","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/casemiro/200145",NA,NA,NA,NA,NA,"M"
"Guglielmo Vicario",84,84,80,79,87,52,84,54,49,13,NA,59,NA,NA,13,69,11,10,58,55,14,22,56,38,82,44,63,15,11,23,11,13,67,38,60,35,"GK",4,1,"Right",194,76,"",27,"Italy","Premier League","Spurs","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guglielmo-vicario/240091",84,80,79,84,87,"M"
"Dušan Vlahović",84,78,84,69,79,29,83,76,79,87,86,84,83,79,80,70,57,89,75,60,78,80,63,53,86,84,81,24,83,19,26,24,92,77,87,78,"ST",3,3,"Left",190,75,"",24,"Serbia","Serie A Enilive","Juventus","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dusan-vlahovic/246430",NA,NA,NA,NA,NA,"M"
"Kyle Walker",84,89,64,77,78,79,81,84,93,68,51,87,69,57,63,69,77,71,81,80,76,78,66,69,85,82,75,78,72,75,85,83,87,81,80,84,"RB",2,3,"Right",183,83,"",34,"England","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kyle-walker/188377",NA,NA,NA,NA,NA,"M"
"Benjamin White",84,73,35,77,78,83,80,70,75,59,30,53,27,23,24,76,77,20,84,82,64,78,68,61,84,83,83,84,78,83,84,82,83,83,78,81,"RB",4,2,"Right",185,77,"CB",26,"England","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/benjamin-white/231936",NA,NA,NA,NA,NA,"M"
"Marcos Acuña",83,74,74,82,82,80,84,75,74,80,66,83,81,67,76,82,85,75,82,77,88,81,82,90,84,82,86,81,61,81,84,83,79,90,82,83,"LB",3,3,"Left",172,69,"LM",32,"Argentina","Libertadores","River Plate","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marcos-acuna/224334",NA,NA,NA,NA,NA,"M"
"Robert Andrich",83,54,77,76,73,83,83,59,50,68,74,84,85,70,62,73,71,76,80,78,78,74,63,59,83,76,75,84,74,85,86,79,80,77,84,91,"CDM",4,2,"Right",186,85,"CM, CB",29,"Germany","Bundesliga","Leverkusen","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-andrich/212242",NA,NA,NA,NA,NA,"M"
"Ismaël Bennacer",83,77,73,82,85,78,75,81,74,75,67,85,74,64,72,80,78,75,85,83,79,84,86,89,83,85,87,81,62,79,82,77,77,78,69,86,"CDM",3,3,"Left",175,70,"CM, CAM",26,"Algeria","Serie A Enilive","Milano FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ismael-bennacer/226754",NA,NA,NA,NA,NA,"M"
"Domenico Berardi",83,79,81,78,85,36,70,80,79,84,83,80,80,78,76,78,76,75,80,76,79,84,92,86,84,84,78,25,62,42,30,30,73,76,61,85,"RW",3,4,"Left",183,72,"RM",30,"Italy","Serie BKT","Sassuolo","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/domenico-berardi/210935",NA,NA,NA,NA,NA,"M"
"Eduardo Camavinga",83,80,67,81,84,78,80,81,80,73,64,73,70,59,62,83,77,59,86,84,72,84,82,81,82,86,84,82,64,76,82,81,82,84,79,79,"CM",3,4,"Left",182,68,"CDM, LB",21,"France","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/eduardo-camavinga/248243",NA,NA,NA,NA,NA,"M"
"Yannick Carrasco",83,88,81,80,85,59,67,87,88,80,81,84,82,74,79,80,82,80,80,74,86,88,86,70,80,84,84,57,56,54,64,61,74,76,63,65,"LW",4,4,"Right",181,73,"LM",31,"Belgium","ROSHN Saudi League","Al Shabab","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yannick-carrasco/208418",NA,NA,NA,NA,NA,"M"
"Andreas Christensen",83,67,32,68,71,85,76,56,76,32,36,37,20,25,36,62,51,39,83,79,41,67,61,61,84,79,79,86,80,86,86,84,80,73,78,75,"CB",3,2,"Right",187,82,"CDM",28,"Denmark","LALIGA EA SPORTS","FC Barcelona","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andreas-christensen/213661",NA,NA,NA,NA,NA,"M"
"Stefan de Vrij",83,62,41,65,69,85,75,63,61,31,25,65,60,27,41,70,49,36,75,71,45,66,60,60,83,74,85,87,79,86,85,81,82,67,78,78,"CB",3,2,"Right",189,78,"",32,"Holland","Serie A Enilive","Lombardia FC","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-de-vrij/198176",NA,NA,NA,NA,NA,"M"
"Ángel Di María",83,76,80,85,88,48,66,78,74,80,76,82,86,78,83,87,81,88,86,81,92,89,88,74,77,90,89,42,53,41,55,52,69,69,61,72,"RM",2,5,"Left",180,69,"CAM, RW",36,"Argentina","Liga Portugal","SL Benfica","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/angel-di-maria/183898",NA,NA,NA,NA,NA,"M"
"Moussa Diaby",83,95,75,74,86,43,53,95,95,79,80,74,72,67,48,77,76,56,76,72,72,87,92,93,80,83,77,48,41,48,35,46,57,82,34,62,"RM",3,4,"Left",170,67,"ST, CAM, RW",25,"France","ROSHN Saudi League","Al Ittihad","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/moussa-diaby/241852",NA,NA,NA,NA,NA,"M"
"Youssef En-Nesyri",83,82,82,63,77,36,80,80,84,85,86,83,77,77,73,56,51,56,77,58,63,79,67,39,82,82,75,33,90,27,31,27,93,83,79,76,"ST",3,3,"Left",188,78,"",27,"Morocco","Trendyol Süper Lig","Fenerbahçe","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/youssef-en-nesyri/235410",NA,NA,NA,NA,NA,"M"
"Rafa",83,93,77,77,86,50,54,94,93,83,79,77,77,68,59,83,78,56,77,76,81,86,90,88,84,85,81,58,49,52,47,39,62,84,40,47,"CAM",3,4,"Right",172,66,"ST",31,"Portugal","Trendyol Süper Lig","Beşiktaş","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafa/216547",NA,NA,NA,NA,NA,"M"
"Cody Gakpo",83,82,83,78,83,48,75,84,81,82,83,86,83,77,68,80,83,76,79,70,78,86,75,67,81,85,83,45,81,46,48,31,91,76,78,63,"ST",4,4,"Right",189,76,"LW",25,"Holland","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cody-gakpo/242516",NA,NA,NA,NA,NA,"M"
"José María Giménez",83,71,46,58,61,85,82,70,71,25,37,73,48,34,40,46,47,44,71,68,37,55,56,57,78,66,75,84,82,87,85,85,88,71,85,87,"CB",3,2,"Right",185,79,"",29,"Uruguay","LALIGA EA SPORTS","Atlético de Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jose-maria-gimenez/216460",NA,NA,NA,NA,NA,"M"
